id,contrato_id,tipo_insumo_id,contrato_pedido_id,proveedor_id,lote,insumo_medico_clave,precio,usuario_id,created_at,updated_at,deleted_at
1,1,4,NULL,1,1,010.000.0624.00,16.27,root,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
2,1,4,NULL,1,2,010.000.0624.01,24.41,root,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
3,1,5,NULL,1,3,010.000.2303.00,37.87,root,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
4,1,5,NULL,1,4,010.000.2302.00,12.50,root,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
5,1,4,NULL,1,5,010.000.4263.00,11.24,root,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
6,1,4,NULL,1,6,010.000.2126.00,31.47,root,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
7,1,4,NULL,1,7,010.000.4264.00,410.78,root,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
8,1,4,NULL,1,8,010.000.2830.00,10.59,root,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
9,1,4,NULL,1,9,010.000.0101.00,6.84,root,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
10,1,4,NULL,1,10,010.000.0103.00,3.63,root,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
11,1,4,NULL,1,11,010.000.4164.00,38.49,root,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
12,1,4,NULL,1,12,010.000.4161.00,12.80,root,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
13,1,4,NULL,1,13,010.000.2707.00,4.70,root,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
14,1,4,NULL,1,14,010.000.1711.00,3.26,root,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
15,1,5,NULL,1,15,010.000.1700.00,5.81,root,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
16,1,4,NULL,1,16,010.000.1706.00,3.49,root,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
17,1,4,NULL,1,17,010.000.1706.01,16.05,root,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
18,1,5,NULL,1,18,010.000.2152.00,326.72,root,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
19,1,4,NULL,1,19,010.000.5233.00,202.95,root,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
20,1,4,NULL,1,20,010.000.0904.00,7.85,root,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
21,1,4,NULL,1,21,010.000.4167.00,41.61,root,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
22,1,4,NULL,1,22,010.000.2620.00,267.55,root,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
23,1,4,NULL,1,23,010.000.5468.00,59.69,root,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
